username,repo_name,stars,repo_url
public-apis,public-apis,149000,https://github.com/public-apis/public-apis
httpie,httpie,51600,https://github.com/httpie/httpie
neovim,neovim,46300,https://github.com/neovim/neovim
strapi,strapi,38900,https://github.com/strapi/strapi
tiangolo,fastapi,34700,https://github.com/tiangolo/fastapi
slatedocs,slate,33000,https://github.com/slatedocs/slate
hoppscotch,hoppscotch,30500,https://github.com/hoppscotch/hoppscotch
hasura,graphql-engine,23800,https://github.com/hasura/graphql-engine
YMFE,yapi,22100,https://github.com/YMFE/yapi
littlecodersh,ItChat,21600,https://github.com/littlecodersh/ItChat
encode,django-rest-framework,21600,https://github.com/encode/django-rest-framework
Binaryify,NeteaseCloudMusicApi,20900,https://github.com/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,20700,https://github.com/ccxt/ccxt
paularmstrong,normalizr,20400,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,19800,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,17400,https://github.com/microsoft/api-guidelines
Kong,insomnia,17200,https://github.com/Kong/insomnia
shieldfy,API-Security-Checklist,15900,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13200,https://github.com/learn-anything/learn-anything
youfou,wxpy,12900,https://github.com/youfou/wxpy
jsdoc,jsdoc,12200,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12100,https://github.com/BrainJS/brain.js
directus,directus,11800,https://github.com/directus/directus
ChainSafe,web3.js,10900,https://github.com/ChainSafe/web3.js
graphile,postgraphile,10600,https://github.com/graphile/postgraphile
postmanlabs,httpbin,10100,https://github.com/postmanlabs/httpbin
go-chi,chi,9900,https://github.com/go-chi/chi
star7th,showdoc,9700,https://github.com/star7th/showdoc
OpenAPITools,openapi-generator,9400,https://github.com/OpenAPITools/openapi-generator
ruby-grape,grape,9400,https://github.com/ruby-grape/grape
